generation,averageAntagonist,averageProtagonist,topAntagonist,topProtagonist,antagonistStrategies,topProtagonistStrategies,topAntagonistDominantStrategy,topProtagonistDominantStrategy,topAntagonistBirthGen,topProtagonistBirthGen,topAntagonistDelta,topProtagonistDelta,topAntagonistEquation,topProtagonistEquation,spec,runNumber
1,-0.8275251524547886,0.01658295310309036,0.038446127017910725,0.46651226036094817,StrategyAddTreeWithDiv|StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategyMultXD|StrategyMultXD|StrategyAddRandomSubTreeR|StrategyAddRandomSubTreeR,StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyAddTreeWithDiv|StrategySubXD|StrategyAddTreeWithSub|StrategyAddTreeWithDiv|StrategyAddTreeWithSub|StrategySubXD|StrategyAddToLeafR|StrategyMultXD,StrategyAddTreeWithMult,StrategyAddTreeWithDiv,0,0,255358170.5,255358170.5,((((((((7)*(6))/(7))*((5)-(7)))*((x)*((7)+(5))))*((((5)*(5))*(7))*((4)*(x))))*(x))*(x)),(((((((((9)-(x))-(4))-(7))-(((4)*((6)-(1)))-((2)/((0)*(0)))))+((8)-((x)*(2))))-((1)/(9)))-(x))*(x)),5*x*x*x+2*x+7,1
2,-0.6487468068231121,-0.03313578743001333,0.18261808337828694,0.2551791764112084,StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategyAddXD|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategyMultXD|StrategyMultXD|StrategyAddXD|StrategyAddTreeWithAdd,StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyAddToLeafR|StrategyAddXD|StrategyMutateTerminalR,StrategyAddTreeWithMult,StrategyReplaceBranchXR,1,0,13008763.5,13008763.5,((((((((((2)+(4))+(2))*((8)*(6)))*(((7)*(x))*((2)*(8))))+((2)*((x)-(7))))+(x))*(x))*(x))+(x)),((((x)-((8)-(2)))/((x)-(x)))+(4)),5*x*x*x+2*x+7,1
3,-0.47774091701467924,-0.07593626244579803,0.2836404290614228,0.12382725828730623,StrategyMutateNonTerminalR|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyAddTreeWithMult|StrategyMultXD|StrategyMultXD|StrategyAddXD|StrategyAddTreeWithAdd,StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyReplaceBranchR|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyAddToLeafR|StrategyAddXD|StrategyMutateTerminalR,StrategyAddTreeWithMult,StrategyReplaceBranchXR,2,2,9194211,9194211,(((((((5)*(((5)*(4))*(2)))*(((4)*((6)+((4)*(8))))*(x)))+(((4)+(4))-((x)+(7))))*(x))*(x))+(x)),(((((x)*((9)+(5)))*(((6)*(2))+(5)))/(x))+(x)),5*x*x*x+2*x+7,1
4,0.08013762843803796,-0.0574774008977312,0.8650708435367674,0.17240593992354986,StrategyMutateNonTerminalR|StrategyMultXD|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyMultXD|StrategyMultXD|StrategyAddXD|StrategyAddTreeWithAdd,StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddToLeafR|StrategyMultXD,StrategyAddTreeWithAdd,StrategyReplaceBranchXR,3,3,5496567.6,5496567.6,((((((((5)*(x))*((((1)+(5))+((5)*(5)))*(((4)+(5))+(5))))+((2)*((x)-(7))))*(x))*(x))*(x))+(x)),(((((((5)*(2))*(((0)-(3))/(9)))*((((8)*(5))*(4))*((8)*(9))))+(((2)*((1)-(1)))-(((1)+(6))*(((x)+(x))*((x)*((9)/(0)))))))/(x))*(x)),5*x*x*x+2*x+7,1
5,0.33669098161720684,-0.03384834082334444,0.7147084858560112,0.49666162683457954,StrategyAddToLeafR|StrategyMultXD|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyMultXD|StrategyMultXD|StrategyAddRandomSubTreeR|StrategyAddRandomSubTreeR,StrategyAddTreeWithMult|StrategyAddRandomSubTreeR|StrategyReplaceBranchR|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddToLeafR|StrategyMultXD,StrategyMultXD,StrategyReplaceBranchXR,4,3,4842952,4842952,(((((((5)*((x)+((1)+((x)+(6)))))*((x)*(x)))+(((3)+(7))*((5)*(7))))*((7)+(8)))*(x))*(x)),((((x)+(9))/(((x)+(x))-((4)/(0))))*(x)),5*x*x*x+2*x+7,1
6,0.42694820470002953,-0.06839388509016,0.9696214126038131,0.3371656383745233,StrategyAddToLeafR|StrategyMultXD|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyMultXD|StrategyMultXD|StrategyAddXD|StrategyAddTreeWithAdd,StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddXD|StrategyMutateTerminalR,StrategyAddTreeWithAdd,StrategyReplaceBranchXR,5,5,96504731,96504731,(((((((((8)*((0)+(7)))*(x))*((x)*(((x)*(7))+(7))))+((2)*(((2)+(7))+(7))))*((6)+(4)))*(x))*(x))+(x)),(((((3)+(0))*(((x)+(((7)+(8))+(3)))*(((x)+(8))*((x)-((2)/(0))))))/(x))+(x)),5*x*x*x+2*x+7,1
7,0.5003551912823075,0.07751298146321914,0.9275814349272258,0.39232445194129056,StrategyMutateNonTerminalR|StrategyMultXD|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyMultXD|StrategyMultXD|StrategyAddXD|StrategyAddTreeWithAdd,StrategyAddTreeWithAdd|StrategyAddRandomSubTreeR|StrategyReplaceBranchR|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddXD|StrategyMutateTerminalR,StrategyAddTreeWithAdd,StrategyReplaceBranchXR,6,6,105022823,105022823,((((((((5)*(((4)+(8))+(1)))*((x)*(x)))*(((2)+(1))*((x)+((1)*(9)))))*((8)+(4)))*(x))*(x))+(x)),((((((x)+(((9)/(0))/(7)))*((4)+(1)))*(((x)*(0))*((0)+(x))))*(((x)+(9))*(((0)-(8))*((x)*((x)*(x))))))/(x)),5*x*x*x+2*x+7,1
8,0.4173439548388389,0.05727360462139881,0.9788260549047212,0.3018428996829249,StrategyAddToLeafR|StrategyMultXD|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyMultXD|StrategyMultXD|StrategyAddXD|StrategyAddTreeWithAdd,StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddToLeafR|StrategyMutateTerminalR,StrategyAddTreeWithAdd,StrategyReplaceBranchXR,7,7,149837861.4,149837861.4,(((((((((8)*((1)+(x)))*(x))*((x)*(x)))+((((8)+(x))+(3))*((x)+((9)+(6)))))*((x)*(x)))*(x))*(x))+(x)),(((x)*((9)-(2)))/((7)/(0))),5*x*x*x+2*x+7,1
9,0.6196363411261506,0.06389567448044056,0.9505990270861838,0.30069085678079555,StrategyAddToLeafR|StrategyMultXD|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyMultXD|StrategyMultXD|StrategyAddXD|StrategyAddTreeWithAdd,StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddToLeafR|StrategyMutateTerminalR,StrategyAddTreeWithAdd,StrategyReplaceBranchXR,8,8,16350415,16350415,((((((((5)*(x))*((((2)+((7)*(5)))*(4))*(x)))+((2)*(((4)+(4))+((1)+((6)+(3))))))*(x))*(x))*(x))+(x)),(((((x)-((x)/((0)*(1))))*(((6)*(0))+((1)+((7)*(x)))))+((((x)+(1))+((8)*(5)))*(((1)+(9))*((x)*(((x)+(x))+(x))))))/(x)),5*x*x*x+2*x+7,1
10,0.849732769326463,0.1167605385802366,0.9763416324121532,0.44689389229651805,StrategyAddToLeafR|StrategyMultXD|StrategyAddTreeWithAdd|StrategyAddTreeWithAdd|StrategyAddTreeWithMult|StrategyAddTreeWithAdd|StrategyMultXD|StrategyMultXD|StrategyAddXD|StrategyAddTreeWithAdd,StrategyAddTreeWithAdd|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyDivXD|StrategyReplaceBranchXR|StrategyAddTreeWithSub|StrategyReplaceBranchXR|StrategyAddTreeWithDiv|StrategyAddXD|StrategyMutateTerminalR,StrategyAddTreeWithAdd,StrategyReplaceBranchXR,9,9,100651416.4,100651416.4,(((((((((x)*(x))*(x))*(((x)*((2)+(4)))*(x)))+((2)*(((5)+(x))+((1)+((8)+(1))))))*(x))*(x))*(x))+(x)),(((((((5)*(x))*((x)*(3)))-(((x)*(7))+((7)+((x)*(4)))))*((((4)/(7))*((3)+((7)+((6)/(0)))))+(((x)*(3))*((x)*(((5)-(6))+(x))))))/(x))+(x)),5*x*x*x+2*x+7,1
